url,title,location,price,currency,description,updated
https://www.idealista.com/inmueble/102826124/,Piso en venta en Plaza Mayor - S.Agustín,Segovia,1200000,€,,
https://www.idealista.com/inmueble/105538256/,Piso en venta en calle la Independencia,"Centro, Segovia",94000,€,,
https://www.idealista.com/inmueble/104664978/,Piso en venta en calle Larga,"Centro, Segovia",180000,€,,
https://www.idealista.com/inmueble/100861545/,Piso en venta en Centro,Segovia,185000,€,,
https://www.idealista.com/inmueble/105093149/,"Piso en venta en carretera Trescasas, 21 -17","Vía Roma, Segovia",120000,€,,
https://www.idealista.com/inmueble/104745457/,Piso en venta en Sector Plaza de Toros,Segovia,196000,€,,
https://www.idealista.com/inmueble/103315225/,"Piso en venta en calle Pinar de Valsain, 1","Sector Plaza de Toros, Segovia",199500,€,,
https://www.idealista.com/inmueble/105892428/,Piso en venta en El Cerro - Crtra. San Rafael,Segovia,195000,€,,
https://www.idealista.com/inmueble/105890745/,Piso en venta en Doctor Velasco,"Plaza Mayor - S.Agustín, Segovia",255000,€,,
https://www.idealista.com/inmueble/97460710/,Ático en venta en Plaza Mayor - S.Agustín,Segovia,400000,€,,
https://www.idealista.com/inmueble/105855496/,"Dúplex en venta en calle Velarde, 9","Plaza Mayor - S.Agustín, Segovia",600000,€,,
https://www.idealista.com/inmueble/102102833/,Ático en venta en del Sexmo de Cabezas s/n,"Sector Plaza de Toros, Segovia",284625,€,,
https://www.idealista.com/inmueble/103991778/,Piso en venta en del Sexmo de Cabezas s/n,"Sector Plaza de Toros, Segovia",336375,€,,
https://www.idealista.com/inmueble/103502077/,Ático en venta en del Sexmo de Cabezas s/n,"Sector Plaza de Toros, Segovia",294975,€,,
https://www.idealista.com/inmueble/103991638/,Piso en venta en del Sexmo de Cabezas s/n,"Sector Plaza de Toros, Segovia",331200,€,,
https://www.idealista.com/inmueble/105431487/,Ático en venta en del Sexmo de Cabezas s/n,"Sector Plaza de Toros, Segovia",375000,€,,
https://www.idealista.com/inmueble/104722348/,"Piso en venta en calle Sexmo del Espinar, 5","Sector Plaza de Toros, Segovia",162000,€,,
https://www.idealista.com/inmueble/104755073/,"Piso en venta en calle Sexmo de Tajuña, 2","Sector Plaza de Toros, Segovia",196000,€,,
https://www.idealista.com/inmueble/104718588/,"Piso en venta en calle Sexmo de Tajuña, 6","Sector Plaza de Toros, Segovia",199000,€,,
https://www.idealista.com/inmueble/105457020/,"Piso en venta en calle Santo Tomás, 12","Centro, Segovia",277000,€,,
https://www.idealista.com/inmueble/105075972/,Piso en venta en calle de Agapito Marazuela,"José Zorrilla - Padre Claret, Segovia",210000,€,,
https://www.idealista.com/inmueble/104630852/,Piso en venta en calle Almira,"Centro, Segovia",130000,€,,
https://www.idealista.com/inmueble/104571858/,Piso en venta en carretera Trescasas,"Vía Roma, Segovia",139000,€,,
https://www.idealista.com/inmueble/105261445/,Piso en venta en carretera de Villacastín,"El Cerro - Crtra. San Rafael, Segovia",230000,€,,
https://www.idealista.com/inmueble/105366167/,Piso en venta en calle la Cruz de Mayo,"José Zorrilla - Padre Claret, Segovia",160000,€,,
https://www.idealista.com/inmueble/104950096/,Piso en venta en avenida Acueducto,"Centro, Segovia",599685,€,,
